cluster,token,esco_uri,esco_label,status,mapping_source
# DATA_IT — seed initial v1
# URIs validées contre catalog (965 offres VIE actives)
# Format: cluster,token,esco_uri,esco_label,status,mapping_source
#
# Règle de mapping: token = terme tech non-ESCO fréquent dans les CVs data/IT
# URI = compétence ESCO la plus proche, présente dans les offres VIE

# ── Langages & frameworks ─────────────────────────────────────────────────────
DATA_IT,python,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (programmation informatique),ACTIVE,manual
DATA_IT,sql,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,SQL,ACTIVE,manual
DATA_IT,javascript,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,ACTIVE,manual
DATA_IT,java,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (programmation informatique),ACTIVE,manual
DATA_IT,typescript,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,TypeScript,ACTIVE,manual
DATA_IT,angular,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,Angular,ACTIVE,manual
DATA_IT,spark,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f,SPARK,ACTIVE,manual
DATA_IT,scala,http://data.europa.eu/esco/skill/ffddfc7c-a9dd-449f-9e96-882dc447c8b6,Scala,ACTIVE,manual

# ── Bases de données ──────────────────────────────────────────────────────────
DATA_IT,nosql,http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c,NoSQL,ACTIVE,manual
DATA_IT,postgresql,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996,PostgreSQL,ACTIVE,manual
DATA_IT,mysql,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f,MySQL,ACTIVE,manual

# ── DevOps & infra ────────────────────────────────────────────────────────────
DATA_IT,devops,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,ACTIVE,manual
DATA_IT,ansible,http://data.europa.eu/esco/skill/6f8a40d6-f9ce-43ec-a72f-d4213a53f3ed,Ansible,ACTIVE,manual

# ── Méthodologies ─────────────────────────────────────────────────────────────
DATA_IT,agile,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,gestion de projets par méthode Agile,ACTIVE,manual
DATA_IT,scrum,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,gestion de projets par méthode Agile,ACTIVE,manual
DATA_IT,rgpd,http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758,RGPD,ACTIVE,manual
DATA_IT,nlp,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a,traitement automatique du langage naturel,ACTIVE,manual
