offer_id,domain_tag,v2_skills,v3_skills,v3_core_metier,v3_tool,v3_context,v3_noise
912,supply,2,3,2,0,1,0
55,supply,0,5,4,1,0,0
148,hr,2,5,5,0,0,0
846,finance,4,4,3,1,0,0
790,supply,0,5,4,1,0,0
828,engineering,1,4,4,0,0,0
938,supply,2,5,5,0,0,0
184,data,2,5,2,2,1,0
753,sales,3,4,3,0,1,0
652,finance,2,5,4,1,0,0
477,engineering,2,5,5,0,0,0
273,hr,0,4,3,0,1,0
550,engineering,0,4,4,0,0,0
394,sales,0,5,5,0,0,0
51,sales,1,5,4,0,1,0
272,finance,0,5,5,0,0,0
781,supply,2,5,5,0,0,0
951,admin,2,4,2,2,0,0
839,engineering,1,4,3,1,0,0
867,finance,1,5,3,1,1,0
190,sales,2,5,4,0,1,0
350,hr,1,5,5,0,0,0
758,engineering,1,5,5,0,0,0
539,engineering,0,5,4,0,1,0
858,engineering,1,4,2,1,1,0
874,engineering,2,5,5,0,0,0
554,engineering,1,4,4,0,0,0
278,admin,0,5,5,0,0,0
424,finance,2,5,4,1,0,0
406,hr,1,4,3,1,0,0
946,engineering,1,5,4,1,0,0
670,supply,1,5,5,0,0,0
176,hr,3,5,3,1,1,0
576,engineering,2,4,3,0,1,0
309,legal,1,5,4,0,1,0
849,supply,4,4,2,1,1,0
292,sales,1,5,5,0,0,0
509,engineering,3,5,2,2,1,0
929,engineering,1,4,3,1,0,0
663,data,3,5,2,2,1,0
770,data,1,4,2,1,1,0
919,data,1,4,4,0,0,0
271,other,0,5,4,1,0,0
156,legal,1,4,3,1,0,0
417,marketing,1,5,4,0,1,0
932,engineering,3,4,3,1,0,0
764,other,1,5,3,0,2,0
556,sales,3,2,1,1,0,0
641,sales,1,5,5,0,0,0
475,hr,1,5,4,1,0,0
529,supply,3,5,5,0,0,0
961,supply,0,5,5,0,0,0
638,engineering,4,5,3,2,0,0
791,sales,2,5,4,0,1,0
775,engineering,1,5,3,1,1,0
940,sales,0,5,2,2,1,0
282,sales,1,5,4,0,1,0
390,engineering,3,5,5,0,0,0
173,operations,4,5,5,0,0,0
733,admin,1,5,4,0,1,0
269,finance,2,3,2,1,0,0
261,supply,2,5,4,0,1,0
502,legal,1,4,4,0,0,0
42,engineering,1,4,4,0,0,0
189,engineering,0,5,4,1,0,0
876,legal,2,4,3,1,0,0
161,engineering,0,5,4,1,0,0
125,sales,3,5,5,0,0,0
113,engineering,0,5,4,1,0,0
257,operations,2,5,3,1,0,1
700,admin,0,5,5,0,0,0
43,finance,2,3,1,2,0,0
632,sales,2,5,4,0,1,0
658,engineering,1,5,2,3,0,0
587,engineering,2,5,3,2,0,0
120,engineering,3,4,3,0,1,0
802,supply,1,5,3,1,1,0
578,engineering,1,5,3,2,0,0
815,sales,0,1,1,0,0,0
695,sales,2,5,3,1,1,0
440,engineering,0,5,3,2,0,0
794,finance,0,5,4,0,0,1
349,sales,2,5,3,1,1,0
187,finance,2,2,2,0,0,0
914,hr,3,5,5,0,0,0
57,finance,2,5,4,1,0,0
160,operations,1,5,5,0,0,0
766,engineering,1,2,1,1,0,0
728,engineering,1,4,4,0,0,0
644,sales,3,4,3,0,1,0
824,data,3,5,4,1,0,0
506,engineering,1,5,4,0,0,1
508,engineering,3,5,5,0,0,0
242,engineering,3,5,4,1,0,0
331,operations,1,5,5,0,0,0
913,operations,2,5,5,0,0,0
769,sales,0,3,2,0,1,0
599,engineering,0,4,4,0,0,0
677,supply,4,4,4,0,0,0
266,data,1,5,4,1,0,0
315,sales,2,3,1,2,0,0
366,engineering,2,5,5,0,0,0
841,operations,1,3,3,0,0,0
803,sales,1,5,5,0,0,0
305,operations,1,4,3,0,1,0
54,sales,1,3,3,0,0,0
4,data,3,4,1,2,1,0
698,data,0,4,3,1,0,0
181,engineering,0,3,3,0,0,0
743,supply,1,5,4,0,1,0
466,engineering,0,5,4,0,1,0
201,sales,0,5,4,1,0,0
844,operations,2,3,3,0,0,0
10,hr,1,5,4,1,0,0
631,finance,1,4,4,0,0,0
6,finance,3,5,3,2,0,0
963,supply,2,5,2,2,1,0
446,admin,0,5,3,2,0,0
749,supply,2,5,2,2,1,0
220,finance,3,3,3,0,0,0
823,legal,1,5,5,0,0,0
822,data,1,4,4,0,0,0
400,admin,0,4,3,0,1,0
920,data,1,5,4,0,1,0
219,sales,2,5,4,1,0,0
175,hr,3,5,3,1,1,0
363,operations,2,4,4,0,0,0
596,supply,2,5,4,0,1,0
285,sales,3,3,2,0,1,0
50,supply,2,4,3,0,1,0
231,engineering,0,4,3,1,0,0
661,other,0,5,5,0,0,0
512,engineering,1,1,1,0,0,0
340,engineering,1,4,3,0,1,0
873,engineering,0,5,5,0,0,0
523,engineering,2,4,4,0,0,0
356,operations,1,5,5,0,0,0
391,data,2,4,4,0,0,0
487,data,0,4,3,1,0,0
458,data,3,5,3,1,1,0
414,supply,1,3,2,1,0,0
2,hr,3,4,2,1,1,0
699,sales,2,5,4,0,1,0
640,supply,2,5,4,0,1,0
368,engineering,4,5,3,2,0,0
246,supply,2,5,3,2,0,0
128,sales,1,5,5,0,0,0
735,engineering,1,5,4,1,0,0
714,sales,2,5,5,0,0,0
538,engineering,1,4,3,0,1,0
166,engineering,1,5,5,0,0,0
344,engineering,1,3,2,1,0,0
906,supply,3,4,4,0,0,0
595,engineering,1,5,4,1,0,0
909,finance,2,2,1,1,0,0
745,supply,2,5,3,1,1,0
142,supply,1,5,4,0,1,0
924,supply,1,3,3,0,0,0
872,supply,1,5,4,0,1,0
534,data,1,5,3,1,1,0
410,sales,1,5,4,0,1,0
152,sales,1,5,5,0,0,0
428,engineering,1,4,4,0,0,0
637,sales,2,5,5,0,0,0
355,operations,2,4,4,0,0,0
792,engineering,1,5,5,0,0,0
747,engineering,0,5,4,1,0,0
896,operations,0,5,3,1,0,1
222,engineering,1,4,3,0,1,0
381,data,1,5,5,0,0,0
359,operations,1,5,5,0,0,0
597,admin,0,4,3,0,1,0
193,engineering,0,5,2,3,0,0
777,legal,2,5,5,0,0,0
164,engineering,2,4,4,0,0,0
730,supply,4,5,3,2,0,0
548,engineering,0,2,2,0,0,0
922,sales,2,5,5,0,0,0
453,engineering,1,3,3,0,0,0
217,sales,3,5,3,1,1,0
787,engineering,1,4,4,0,0,0
186,engineering,1,5,3,1,1,0
709,engineering,1,4,3,0,1,0
47,finance,2,4,3,1,0,0
501,hr,4,5,5,0,0,0
177,hr,3,5,3,1,1,0
750,sales,4,4,4,0,0,0
727,engineering,1,4,3,0,1,0
545,engineering,0,4,4,0,0,0
